title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
DeRay Davis: How to Act Black,TV,2017,TV-MA,UltraHD,DeRay Davis,Marcus Raboy,,6.1,66,80191804,2017-11-14,"Dynamic comic DeRay Davis hits the stage like a ball of fire, nailing the finer points of living, dating and handling show business as a black man.",1,english
Dérè: An African Tale ,TV,,TV-PG,,"Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello",,"Romantic, Drama",,,81274976,2020-08-15,"After experiencing a tragic loss, a woman must resist a new family dynamic that could control the future of her father's company and her life.",0,english
Derek,TV,2012,TV-MA,SuperHD,"Ricky Gervais, Kerry Godliman, Karl Pilkington, David Earl",,,8.0,,70258489,2019-04-03,Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.,0,english
Derren Brown: Miracle,TV,2018,TV-MA,SuperHD,Derren Brown,"Julia Knowles, John L. Spencer",,6.6,73,80219802,2018-06-22,"Illusionist Derren Brown reinvents the concept of ""faith healing” through a series of stunts that debunk the confines of fear, pain and disbelief.",0,english
Derren Brown: Sacrifice,TV,2018,TV-MA,UltraHD,Derren Brown,John Pereira,,7.1,49,80216677,2018-10-19,Illusionist Derren Brown concocts a psychological experiment in which he tries to manipulate an ordinary person into taking a bullet for a stranger.,1,english
Derren Brown: The Push,TV,2018,TV-MA,SuperHD,Derren Brown,,,7.5,69,80220000,2018-02-27,Mentalist Derren Brown engineers an audacious social experiment demonstrating how manipulation can lead an ordinary person to commit an appalling act.,0,english
Derry Girls,TV,2018,TV-MA,SuperHD,"Saoirse-Monica Jackson, Nicola Coughlan, Louisa Harland, Jamie-Lee O'Donnell",,,8.4,,80238565,2018-12-21,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",0,english
Designated Survivor,TV,2016,TV-MA,UltraHD,"Kiefer Sutherland, Maggie Q, Kal Penn, Adan Canto",,,7.5,,80113647,2018-09-28,America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller.,1,english
Designated Survivor: 60 Days,TV,2019,TV-14,SuperHD,"Ji Jin-hee, Lee Jun-hyuk, Heo Joon-ho, Kang Han-na",Yu Jong-seon,,8.0,,81072109,2019-07-01,"When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu-jin must find a way to lead Korea through the ensuing chaos.",0,korean
Desire,TV,2017,TV-MA,SuperHD,"Carolina Ardohain, Mónica Antonópulos, Guilherme Winter, Juan Sorini",Diego Kaplan,,3.9,93,80223098,2017-12-21,A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom.,0,spanish
Desolate,TV,2018,TV-MA,SuperHD,"Will Brittain, Callan Mulvey, Tyson Ritter, Bill Tangradi",Frederick Cipoletti,,4.8,88,81020283,2020-02-06,"In a severe, drought-ravaged dystopia, the youngest of a farm family starts a quest for revenge after his brothers betray him and leave him for dead.",0,english
Despite Everything,TV,2019,TV-MA,UltraHD,"Blanca Suárez, Macarena García, Amaia Salamanca, Belén Cuesta",Gabriela Tagliavini,,5.3,78,81031939,2019-05-03,"After their mother's death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy.",1,spanish
Detective Dee: The Four Heavenly Kings,TV,2018,TV-14,SuperHD,"Mark Chao, Feng Shaofeng, Kenny Lin, Carina Lau",Hark Tsui,,6.3,131,81010962,2019-02-06,"Framed by an empress who plans to steal a dragon-taming mace, imperial magistrate Dee Renjie soon uncovers a greater plot that threatens the kingdom.",0,mandarin
Detention,TV,2020–,TV-MA,," Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao","Su I-Hsuan, Chuang Shiang-an, Liu Yi","Drama, Horror, Mystery",,N/A,81329144,2020-12-05,A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,0,mandarin
Detention Letter,TV,2017,TV-14,SuperHD,"Mohamed Ramadan, Dina El-Sherbiny, Eyad Nassar, Sayed Rajab",Mohamed Samy,,4.5,99,81035835,2019-08-05,A man begins to regret his choices when his brother decides to join him as a member of the same terrorist organization.,0,arabic
Deuces,TV,2016,TV-MA,UltraHD,"Larenz Tate, Meagan Good, Lance Gross, Antonique Smith",Jamal Hill,,5.9,87,80115101,2017-04-01,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader.",1,english
Dev.D,TV,2009,TV-MA,SuperHD,"Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya",Anurag Kashyap,,8.0,136,70113305,2018-10-01,"Because they come from different castes, the son of a tax collector and his true love are not allowed to marry, sending them down divergent paths.",0,hindi
Deviant Love,TV,2019,TV-14,SuperHD,"Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady",Michael Feifer,,3.7,86,81183572,2019-09-12,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives.",0,english
Devilman Crybaby,TV,2018,TV-MA,SuperHD,"Koki Uchiyama, Ayumu Murase, Megumi Han, Ami Koshimizu",Masaaki Yuasa,,7.6,,80174974,2018-01-05,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.",0,japanese
